HoneyPot,Type,Indicator,Date Observed,Threat,Purpose,ASN,GeoIP,JA4+ Fingerprint,Related Hashes
SonicWall (Adam),Email,bang2013@atomicmail.io,03-11-2025,RondoDox,UserAgent,N/A,N/A,,
SonicWall (Adam),IP,204.44.119.241,03-11-2025,RedTail,Exploit Source,"AS136258 - BrainStorm Network, Inc",USA,t13i170900_5b57614c22b0_78e6aca7449b,
SonicWall (Adam),IP,134.209.157.35,03-11-2025,RedTail,Exploit Source,"AS14061 - DigitalOcean, LLC (DO-13)

",USA,,
SonicWall (Adam),IP,185.85.205.122,03-11-2025,RedTail,Exploit Source,AS201079 - HC3199-RIPE,Turkey,,
SonicWall (Adam),IP,197.220.93.100,03-11-2025,RedTail,Exploit Source,AS37371 - AHA3-AFRINIC,Somalia,t13i170900_5b57614c22b0_78e6aca7449b,
SonicWall (Adam),IP,74.194.191.52,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,01ae333d518131775dfd3ab76832cb4796cda88630ba7b4b9ce2446ec9192b39
SonicWall (Adam),IP,45.135.194.32,03-11-2025,RondoDox,Exploit Source,AS51396 - Pfcloud UG,Germany,,
SonicWall (Adam),IP,124.92.50.95,03-11-2025,Mozi,Exploit Source,AS4837 - CHINA UNICOM China169 Backbone,China,,
SonicWall (Adam),IP,43.252.231.122,03-11-2025,RedTail,Exploit Source,AS55933 - Cloudie Limited,Hong Kong,,
SonicWall (Adam),URL,hxxp://74.194.191.52/rondo.pmy.sh,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,
SonicWall (Adam),URL,hxxp://74.194.191.52/rondo.wcr.sh,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,
SonicWall (Adam),URL,hxxp://74.194.191.52/rondo.wwc.sh,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,
SonicWall (Adam),URL,hxxp://74.194.191.52/rondo.sdu.sh,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,
SonicWall (Adam),URL,hxxp://74.194.191.52/rondo.fzr.sh,03-11-2025,RondoDox,Payload Host,AS19108 - SUDDENLINK-COMMUNICATIONS,USA,,
